chamber,Date,batchtime,total_area,nleaves,leaf_size
C04,2016-08-05,17,142.6,6,23.76666667
C05,2016-08-05,17,92.8,6,15.46666667
C06,2016-08-05,17,215.2,6,35.86666667
C07,2016-08-05,17,105.3,6,17.55
C08,2016-08-05,17,150,6,25
C09,2016-08-05,17,119.7,6,19.95
C01,2016-08-05,20,33.61,2,16.805
C02,2016-08-05,20,40.43,2,20.215
C04,2016-08-05,20,38.03,2,19.015
C05,2016-08-05,20,43.6,2,21.8
C06,2016-08-05,20,54.83,2,27.415
C07,2016-08-05,20,30.96,2,15.48
C08,2016-08-05,20,32.81,2,16.405
C09,2016-08-05,20,39.5,2,19.75
C04,2016-08-05,23,32.14,2,16.07
C05,2016-08-05,23,44.39,2,22.195
C06,2016-08-05,23,70.12,2,35.06
C07,2016-08-05,23,29.83,2,14.915
C08,2016-08-05,23,38.56,2,19.28
C09,2016-08-05,23,29.17,2,14.585
C04,2016-08-05,23,36.3,2,18.15
C05,2016-08-05,23,48.2,2,24.1
C06,2016-08-05,23,63.5,2,31.75
C07,2016-08-05,23,37.82,2,18.91
C08,2016-08-05,23,46.33,2,23.165
C09,2016-08-05,23,40.6,2,20.3
C04,2016-08-06,1,34.6,2,17.3
C05,2016-08-06,1,40.6,2,20.3
C06,2016-08-06,1,77.08,2,38.54
C07,2016-08-06,1,32.1,2,16.05
C08,2016-08-06,1,41.3,2,20.65
C09,2016-08-06,1,40.5,2,20.25
C01,2016-08-06,6,33.6,2,16.8
C02,2016-08-06,6,52.2,2,26.1
C04,2016-08-06,6,34.1,2,17.05
C05,2016-08-06,6,47.7,2,23.85
C06,2016-08-06,6,53.4,2,26.7
C07,2016-08-06,6,24.4,2,12.2
C08,2016-08-06,6,41.1,2,20.55
C09,2016-08-06,6,40.5,2,20.25
C04,2016-08-06,4,40.2,2,20.1
C05,2016-08-06,4,39.3,2,19.65
C06,2016-08-06,4,72.1,2,36.05
C07,2016-08-06,4,37.6,2,18.8
C08,2016-08-06,4,53.5,2,26.75
C09,2016-08-06,4,36.6,2,18.3
C01,2016-08-06,8,38.5,2,19.25
C02,2016-08-06,8,46.1,2,23.05
C04,2016-08-06,8,35.7,2,17.85
C05,2016-08-06,8,50.35,2,25.175
C06,2016-08-06,8,57.41,2,28.705
C07,2016-08-06,8,34.7,2,17.35
C08,2016-08-06,8,61.18,2,30.59
C09,2016-08-06,8,43.4,2,21.7
C01,2016-08-06,10,40.53,2,20.265
C02,2016-08-06,10,45.18,2,22.59
C04,2016-08-06,10,56.68,2,28.34
C05,2016-08-06,10,39.64,2,19.82
C06,2016-08-06,10,70.99,2,35.495
C07,2016-08-06,10,30.8,2,15.4
C08,2016-08-06,10,88.83,2,44.415
C09,2016-08-06,10,49.25,2,24.625
C04,2016-08-06,11,49.1,2,24.55
C05,2016-08-06,11,48.1,2,24.05
C06,2016-08-06,11,74.3,2,37.15
C07,2016-08-06,11,26.8,2,13.4
C08,2016-08-06,11,72.1,2,36.05
C09,2016-08-06,11,45.5,2,22.75
C01,2016-08-06,15,33.08,2,16.54
C02,2016-08-06,15,55.24,2,27.62
C04,2016-08-06,15,38.1,2,19.05
C05,2016-08-06,15,50.44,2,25.22
C06,2016-08-06,15,74.47,2,37.235
C07,2016-08-06,15,28.56,2,14.28
C08,2016-08-06,15,47.47,2,23.735
C09,2016-08-06,15,37.02,2,18.51
C04,2016-08-06,17,44.3,2,22.15
C05,2016-08-06,17,44.6,2,22.3
C06,2016-08-06,17,71.2,2,35.6
C07,2016-08-06,17,36.6,2,18.3
C08,2016-08-06,17,40.54,2,20.27
C09,2016-08-06,17,53.47,2,26.735
C04,2016-08-06,22,43.7,2,21.85
C05,2016-08-06,22,39.9,2,19.95
C06,2016-08-06,22,45.7,2,22.85
C07,2016-08-06,22,38.6,2,19.3
C08,2016-08-06,22,60.8,2,30.4
C09,2016-08-06,22,45.2,2,22.6
C04,2016-08-07,1,43.1,2,21.55
C05,2016-08-07,1,36.6,2,18.3
C06,2016-08-07,1,65.5,2,32.75
C07,2016-08-07,1,31.9,2,15.95
C08,2016-08-07,1,39.1,2,19.55
C09,2016-08-07,1,31.6,2,15.8
C01,2016-08-07,6,36.8,2,18.4
C02,2016-08-07,6,38.5,2,19.25
C04,2016-08-07,6,36.2,2,18.1
C05,2016-08-07,6,32.3,2,16.15
C06,2016-08-07,6,57.3,2,28.65
C07,2016-08-07,6,24,2,12
C08,2016-08-07,6,46.5,2,23.25
C09,2016-08-07,6,50.7,2,25.35
C04,2016-08-07,9,44.3,2,22.15
C05,2016-08-07,9,51.1,2,25.55
C06,2016-08-07,9,53.2,2,26.6
C07,2016-08-07,9,28.8,2,14.4
C08,2016-08-07,9,39.2,2,19.6
C09,2016-08-07,9,42,2,21
C04,2016-08-07,12,43.7,2,21.85
C05,2016-08-07,12,50.3,2,25.15
C06,2016-08-07,12,51.9,2,25.95
C07,2016-08-07,12,32.7,2,16.35
C08,2016-08-07,12,38.3,2,19.15
C09,2016-08-07,12,44.9,2,22.45
C04,2016-08-07,14,42,2,21
C05,2016-08-07,14,40.9,2,20.45
C06,2016-08-07,14,45.3,2,22.65
C07,2016-08-07,14,25,2,12.5
C08,2016-08-07,14,39.7,2,19.85
C09,2016-08-07,14,29.2,2,14.6
C04,2016-08-07,17,35.4,2,17.7
C05,2016-08-07,17,37.2,2,18.6
C06,2016-08-07,17,58.3,2,29.15
C07,2016-08-07,17,35.52,2,17.76
C08,2016-08-07,17,42.5,2,21.25
C09,2016-08-07,17,43.4,2,21.7
C01,2016-08-08,12,36.2,2,18.1
C02,2016-08-08,12,32.3,2,16.15
C04,2016-08-08,12,61.6,2,30.8
C05,2016-08-08,12,47.6,2,23.8
C06,2016-08-08,12,75.6,2,37.8
C07,2016-08-08,12,29.6,2,14.8
C08,2016-08-08,12,73.1,2,36.55
C09,2016-08-08,12,50.3,2,25.15
C04,2016-08-08,18,44.8,2,22.4
C05,2016-08-08,18,53.3,2,26.65
C06,2016-08-08,18,57.4,2,28.7
C07,2016-08-08,18,28.5,2,14.25
C08,2016-08-08,18,73.1,2,36.55
C09,2016-08-08,18,46.2,2,23.1
C01,2016-08-09,17,41.7,2,20.85
C02,2016-08-09,17,37,2,18.5
C04,2016-08-09,17,40.1,2,20.05
C05,2016-08-09,17,42.9,2,21.45
C06,2016-08-09,17,56.2,2,28.1
C07,2016-08-09,17,34.9,2,17.45
C08,2016-08-09,17,53.6,2,26.8
C09,2016-08-09,17,48.9,2,24.45
C04,2016-08-10,18,46.11,2,23.055
C05,2016-08-10,18,47.32,2,23.66
C06,2016-08-10,18,62.08,2,31.04
C07,2016-08-10,18,43.3,2,21.65
C08,2016-08-10,18,51.2,2,25.6
C09,2016-08-10,18,48.99,2,24.495
C01,2016-08-12,18,34.7,2,17.35
C02,2016-08-12,18,37.6,2,18.8
C04,2016-08-12,18,33.1,2,16.55
C05,2016-08-12,18,50.1,2,25.05
C06,2016-08-12,18,73.9,2,36.95
C07,2016-08-12,18,25,2,12.5
C08,2016-08-12,18,34.7,2,17.35
C09,2016-08-12,18,45.8,2,22.9
C01,2016-08-15,12,43.3,2,21.65
C02,2016-08-15,12,47.8,2,23.9
C04,2016-08-15,12,50.9,2,25.45
C05,2016-08-15,12,50.1,2,25.05
C06,2016-08-15,12,57.4,2,28.7
C07,2016-08-15,12,45.6,2,22.8
C08,2016-08-15,12,73,2,36.5
C09,2016-08-15,12,42.4,2,21.2
C04,2016-08-16,18,35.9,2,17.95
C05,2016-08-16,18,37,2,18.5
C06,2016-08-16,18,64,2,32
C07,2016-08-16,18,36.6,2,18.3
C08,2016-08-16,18,59.6,2,29.8
C09,2016-08-16,18,39.8,2,19.9
C01,2016-08-24,18,38.4,2,19.2
C02,2016-08-24,18,33.3,2,16.65
C04,2016-08-24,18,43.3,2,21.65
C05,2016-08-24,18,36.2,2,18.1
C06,2016-08-24,18,44.4,2,22.2
C07,2016-08-24,18,24.3,2,12.15
C08,2016-08-24,18,51.5,2,25.75
C09,2016-08-24,18,42.1,2,21.05
